id,name,tags,Status,comment
AB_IngCrea_ClannClaw_01,Clannfear Claw,Claw,done,
AB_IngCrea_DaeTeeth_01,Daedroth Teeth,Teeth,done,
AB_IngCrea_DreughShell_01,Dreugh Shell,Shell,done,
AB_IngCrea_DungCake,Dung Cake,Meal,done,
AB_IngCrea_GlowbugThoraxBlue,Glowbug Thorax,CreaturePart,done,
AB_IngCrea_GlowbugThoraxGreen,Glowbug Thorax,CreaturePart,done,
AB_IngCrea_GuarMeat_01,Guar Meat,Meat,done,
AB_IngCrea_HorseMeat01,Horse Meat,Meat,done,
AB_IngCrea_KwamaEggBlighted,Blighted Kwama Egg,Egg,done,
AB_IngCrea_KwamaPoison,Kwama Poison,Poison,done,
AB_IngCrea_LichDust,Lich Dust,Dust,done,
AB_IngCrea_OgrimLard,Grim Lard,,done,
AB_IngCrea_SaintsHair,Saint's Hair,CreaturePart,done,
AB_IngCrea_ScribShell_01,Scrib Shell,Shell,done,
AB_IngCrea_SfMeat_01,Slaughterfish Meat,Fish,done,
AB_IngCrea_Silkgut,Silkgut,,done,
AB_IngCrea_SpiderMilk,Spider's Milk,Dairy,done,
AB_IngCrea_SpiderVenom,Spider Venom,Poison,done,
AB_IngCrea_SprigganEar,Spriggan's Ear,CreaturePart,done,
AB_IngCrea_SturgeonMeat01,Sturgeon Meat,Fish,done,
AB_IngCrea_SturgeonMeat02,Sturgeon Meat,Fish,done,
AB_IngCrea_SturgeonMeat03,Sturgeon Meat,Fish,done,
AB_IngCrea_SturgeonRoe,Sturgeon Roe,Fish,done,
AB_IngCrea_TwilightMembrane,Winged Twilight Membrane,CreaturePart,done,
AB_IngFlor_BgSlime_01,Bittergreen Slime,Slime,done,
AB_IngFlor_Bloodgrass_01,Bloodgrass,Plant,done,
AB_IngFlor_Bloodgrass_02,Planeriven Bloodgrass,Plant,done,
AB_IngFlor_BlueKanet_01,Blue Kanet,Plant,done,
AB_IngFlor_CinderSparkLichen_01,Cinderspark Lichen,Plant,done,
AB_IngFlor_Dustcap,Dustcap,Mushroom,done,
AB_IngFlor_Fomentarius,Blistering Fomentarius,Mushroom,done,
AB_IngFlor_GlMuscaria_01,Glowing Chanterelle,Mushroom,done,
AB_IngFlor_Harrada_01,Harrada,Plant,done,
AB_IngFlor_Harrada_02,Planeriven Harrada,Plant,done,
AB_IngFlor_Pomegranate01,Pomegranate,Fruit,done,
AB_IngFlor_Pomegranate02,Pomegranate,Fruit,done,
AB_IngFlor_Scypha,Scypha Mycena Caps,Mushroom,done,
AB_IngFlor_TelvanniResin,Telvanni Resin,Resin,done,
AB_IngFlor_Urnula,Veiled Urnula Cap,Mushroom,done,
AB_IngFlor_ViMuscaria_01,Vicious Chanterelle,Mushroom,done,
AB_IngFood_Bread01a,Bread,Meal,done,
AB_IngFood_Bread01b,Bread,Meal,done,
AB_IngFood_Bread02,Bread,Meal,done,
AB_IngFood_ComJam,Comberry Jam,Meal,done,
AB_IngFood_DoughLump,Dough,Dough,done,
AB_IngFood_DoughRolled,Dough,Dough,done,
AB_IngFood_KwamaEggCentCut,Century Kwama Egg,Egg,done,
AB_IngFood_KwamaEggCentWrap,Wrapped Century Kwama Egg,Egg,done,
AB_IngFood_KwamaEggSpoilLarge,Spoiled Kwama Egg,Egg,done,
AB_IngFood_KwamaEggSpoilSmall,Spoiled Kwama Egg,Egg,done,
AB_IngFood_KwamaLoaf,Goros,Meat,done,
AB_IngFood_KwamaLoafSlice,Goros Slice,Meat,done,
AB_IngFood_SaltriceBread,Saltrice Bread,Meal,done,
AB_IngFood_SaltricePorridge,Saltrice Porridge,Meal,done,
AB_IngFood_ScuttlePie,Scuttle Pie,Meal,done,
AB_IngFood_Sweetroll,Sweetroll,Meal,done,
AB_IngFood_WickwheatDumpling,Wickwheat Dumpling,Meal,done,
AB_IngMine_Amber_01,Amber,Gem,done,
AB_IngMine_Amethyst_01,Amethyst,Gem,done,
AB_IngMine_BlackPearl_01,Black Pearl,Gem,done,
AB_IngMine_BlackTourmaline_01,Black Tourmaline,Gem,done,
AB_IngMine_BlueDiamond,Blue Diamond,Gem,done,
AB_IngMine_ChalkWhite,Chalk,Mineral,done,
AB_IngMine_Clay01,Clay,Clay,done,
AB_IngMine_Clay02,Clay,Clay,done,
AB_IngMine_Diopside_01,Star Diopside,Gem,done,
AB_IngMine_Firejade_01,Firejade,Gem,done,
AB_IngMine_Garnet_01,Garnet,Gem,done,
AB_IngMine_GoldPearl_01,Golden Pearl,Gem,done,
AB_IngMine_Lodestone,Lodestone,Mineral,done,
AB_IngMine_Obsidian_01,Obsidian,Gem,done,
AB_IngMine_Peridot_01,Peridot,Gem,done,
AB_IngMine_RedDiamond,Red Diamond,Gem,done,
AB_IngMine_Sapphire_01,Sapphire,Gem,done,
AB_IngMine_Sulphur,Sulphur,Mineral,done,
AB_IngMine_Topaz_01,Topaz,Gem,done,
AB_IngMine_Tourmaline_01,Tourmaline,Gem,done,
food_kwama_egg_01,Small Kwama Egg,Egg,done,Found in Egg Mines. Also common food item in houses.
food_kwama_egg_02,Large Kwama Egg,Egg,done,Found in Egg Mines. Also common as food in houses.
ingred_6th_corprusmeat_01,Large Wrapped Corprusmeat,"Meat,Poison",done,
ingred_6th_corprusmeat_02,Small Wrapped Corprusmeat,"Meat,Poison",done,
ingred_6th_corprusmeat_03,Medium Wrapped Corprusmeat,"Meat,Poison",done,
ingred_6th_corprusmeat_04,Wrapped Corprusmeat Hunk,"Meat,Poison",done,
ingred_6th_corprusmeat_05,Large Corprusmeat Hunk,"Meat,Poison",done,
ingred_6th_corprusmeat_06,Medium Corprusmeat Hunk,"Meat,Poison",done,
ingred_6th_corprusmeat_07,Small Corprusmeat Hunk,"Meat,Poison",done,
ingred_alit_hide_01,Alit Hide,Hide,done,Found by killing Alits
ingred_ash_salts_01,Ash Salts,Salt,done,Found by killing Ash creatures
ingred_ash_yam_01,Ash Yam,Vegetable,done,"Most common in farm areas, occasionally found in the wild"
ingred_bc_ampoule_pod,Ampoule Pod,Plant,done,Common growing in swamps in the Bitter Coast region; one of two possible outputs of the draggle-tail plant (the other is the Coda Flower)
ingred_bc_bungler's_bane,Bungler's Bane,Mushroom,done,This shelf-fungus grows on tree trunks in the Bitter Coast region
ingred_bc_coda_flower,Coda Flower,Plant,done,Found growing in swampy pools in the Bitter Coast region on the draggle-tail plant
ingred_bc_hypha_facia,Hypha Facia,Mushroom,done,This shelf-fungus is found growing on tree trunks in the Bitter Coast region
ingred_bc_spore_pod,Spore Pod,Plant,done,Found on Slough Ferns growing in the Bitter Coast region
ingred_bear_pelt,Bear Pelt,Pelt,done,Found by killing Bears
ingred_belladonna_01,Ripened Belladonna Berries,Fruit,done,"Somewhat less common than the unripe variety, but still relatively widespread."
ingred_belladonna_02,Unripened Belladonna Berries,Fruit,done,Grows all over Solstheim. Common at barrow entrances.
ingred_bittergreen_petals_01,Bittergreen Petals,Plant,done,Grows on thorny vines in drier regions
ingred_black_anther_01,Black Anther,Plant,done,These flowers are most common in the Ascadian Isles region
ingred_black_lichen_01,Black Lichen,Plant,done,"Somewhat rare, mostly found in caves"
ingred_bloat_01,Bloat,Mushroom,done,"Grows in Bloat Spores, which are unfortunately not found anywhere in the game. The only examples you can find are in random containers, or sold by vendors."
ingred_blood_innocent_unique,Blood of an Innocent,CreaturePart,done,Not found in-game. Presumably this was intended to be used instead of the Heart of an Innocent.
ingred_boar_leather,Bristleback Leather,Leather,done,Found by killing Bristlebacks (with or without riders)
ingred_bonemeal_01,Bonemeal,Dust,done,"Found on skeletons (living or dead), and also in urns in most tombs."
ingred_bread_01,Bread,Meal,done,Found in most taverns and many houses.
ingred_bread_01_UNI2,Bread,Meal,done,Appears in Balyn Omarel's House after completing Mephala's Quest.
