icon,record_type,id,name,mesh,plugin
m\Tx_BeerBarrel.dds,Alchemy,potion_nord_mead,Nord Mead,m\BeerBarrel.NIF,Morrowind/Bloodmoon
m\Tx_fabricant_elixir.dds,Alchemy,hulking_fabricant_elixir,Hulking Fabricant Elixir,m\Misc_Fabricant_Elixir.NIF,Morrowind/Tribunal
m\Tx_fabricant_elixir.dds,Alchemy,p_Imperfect_Elixir,Elixir of the Imperfect,m\Misc_Fabricant_Elixir.NIF,Morrowind/Tribunal
m\Tx_fabricant_elixir.dds,Alchemy,verminous_fabricant_elixir,Verminous Fabricant Elixir,m\Misc_Fabricant_Elixir.NIF,Morrowind/Tribunal
m\Tx_potion_bargain_01.tga,Alchemy,p_burden_b,Bargain Potion of Burden,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_chameleon_b,Bargain Potion of Shadow,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_disease_resistance_b,Bargain Disease Resistance,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_feather_b,Bargain Potion of Feather,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fire_resistance_b,Bargain Fire Resistance,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fire_shield_b,Bargain Potion of Fire Shield,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fortify_agility_b,Bargain Fortify Agility,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fortify_endurance_b,Bargain Fortify Endurance,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fortify_fatigue_b,Bargain Fortify Fatigue,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fortify_health_b,Bargain Fortify Health Potion,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fortify_intelligence_b,Bargain Fortify Intelligence,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fortify_luck_b,Bargain Potion of Fortify Luck,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fortify_magicka_b,Bargain Fortify Magicka,m\Misc_Potion_Bargain_01.nif,Morrowind
