id,name,tags,comment
"TR_m3_q_OE_MG_Dae_Gems","<Cursed Gem Spawn Point>","Gem",""
"TR_m3_q_OE_MG_Dae_Sapphire","<Cursed Gem Spawn Point>","Gem",""
"T_IngCrea_AebisFeathers_01","Aebis Feathers","CreaturePart,Feather",""
"T_IngFlor_AlchemistsGlobe_01","Alchemist's Globe","",""
"ingred_alit_hide_01","Alit Hide","CreaturePart,Hide","Found by killing Alits"
"T_IngFood_MeatAlit_01","Alit Meat","Meat",""
"T_IngFlor_Alkanet_01","Alkanet Flower","Plant",""
"T_IngFlor_AloeVeraPulp_01","Aloe Vera Pulp","Plant",""
"T_IngCrea_AlphynClaw_01","Alphyn Claw","CreaturePart,Claw",""
"T_IngFood_AltachiPear_01","Altachi Pear","Fruit",""
"AB_IngMine_Amber_01","Amber","Gem",""
"T_IngMine_AmberDae_01","Amber","Gem",""
"T_IngMine_Amber_01","Amber","Gem",""
"T_IngCrea_Ambergris","Ambergris","",""
"T_IngCrea_Ambergris_float","Ambergris","",""
"T_IngCrea_ButterflyWingSky_03","Amberwing Butterfly Wing","CreaturePart",""
"AB_IngMine_Amethyst_01","Amethyst","Gem",""
"TR_m7_q_Ns_IC8_gem5","Amethyst","Gem",""
"T_IngMine_AmethystDae_01","Amethyst","Gem",""
"T_IngMine_Amethyst_01","Amethyst","Gem",""
"TR_m7_q_Ns_IC8_gem1","Ametrine","Gem",""
"T_IngMine_Ametrine_01","Ametrine","Gem",""
"ingred_bc_ampoule_pod","Ampoule Pod","Plant","Common growing in swamps in the Bitter Coast region; one of two possible outputs of the draggle-tail plant (the other is the Coda Flower)"
"T_IngCrea_MothWingCyr_02","Ancestor Moth Wing","CreaturePart",""
"TR_m2_q_22_Dust","Ancient Dust","Mineral",""
"T_IngFlor_AnemicTwinstipe_01","Anemic Twinstipe","Plant",""
"T_IngCrea_Angelfish_01","Angelfish","Fish",""
"T_IngSpice_Anise_01","Anise Seeds","Spice,Plant",""
"T_IngMine_Antimony_01","Antimony Ore","Ore,Mineral",""
"T_IngCrea_MothWingSky_03","Antler Moth Wing","CreaturePart",""
"T_IngFood_AppleSkyrim_01","Apple","Fruit",""
"T_IngFood_Apple_01","Apple","Fruit",""
"T_IngMine_AquamarineDae_01","Aquamarine","Gem",""
"T_IngMine_Aquamarine_01","Aquamarine","Gem",""
"T_IngFlor_Aquilegia_01","Aquilegia Root Pulp","Plant",""
"T_IngFood_MeatArenthJerky_01","Arenthian Jerky","Meat",""
"T_IngCrea_ArmunHide_01","Armun Kagouti Hide","CreaturePart,Hide",""
"T_IngCrea_MothWingCyr_04","Arrow Moth Wing","CreaturePart",""
"T_IngFlor_Arrowroot_01","Arrowroot","Vegetable",""
"T_IngFlor_ArrowrootFlower_01","Arrowroot Flower","Vegetable,Plant",""
"T_IngCrea_MothWingMw_02","Ash Moth Wing","CreaturePart",""
"ingred_ash_salts_01","Ash Salts","Mineral","Found by killing Ash creatures"
"ingred_ash_yam_01","Ash Yam","Vegetable","Most common in farm areas, occasionally found in the wild"
"TR_m7_Ns_JNS_3_TombAD","Ashdew","",""
"T_IngFlor_Ashdew_01","Ashdew","",""
"T_IngCrea_AspisGland","Aspis Venom Gland","CreaturePart",""
"T_IngFlor_AspyrTea_01","Aspyr Tea Leaves","Plant",""
"T_IngFood_TeaAltmer_02","Assa Tea Cake","",""
"T_IngFlor_Asteria_01","Asteria","Gem",""
"T_IngCrea_AstralJellyfish_01","Astral Jellyfish","Fish",""
"T_IngCrea_AtavisticEye_01","Atavistic Eye","CreaturePart",""
"TR_m2_aztear_i2-383-ind","Azura's Tear","",""
"T_IngCrea_BarkHeart_01","Bark Heart","CreaturePart,Plant",""
"T_IngCrea_BarkScale_01","Bark Scale","CreaturePart,Plant",""
"T_IngCrea_BarracudaSteak_01","Barracuda Steak","Fish",""
"T_IngCrea_BarracudaTailfin_01","Barracuda Tailfin","Fish",""
"TR_m7_NVA8_ingred_bear_pelt","Bear Pelt","CreaturePart,Pelt",""
"ingred_bear_pelt","Bear Pelt","CreaturePart,Pelt","Found by killing Bears"
"T_IngFlor_Bearclaw_01","Bearclaw Flower","Plant",""
"T_IngFood_MeatBeef_01","Beef","Meat",""
"T_IngCrea_BosmerBeeswax_01","Beeswax","",""
"T_IngCrea_BeetleResin_01","Beetle Resin","Plant",""
"TR_m4_AA_SehutuHeart","Bel-Betu's Heart","CreaturePart",""
"T_IngFlor_BertpodSlice_01","Bertpod Slice","",""
"T_IngCrea_BezoarStone_01","Bezoar Stone","",""
"T_IngCrea_ShellMolecrab_01","Big Mole Crab Shell","Fish,CreaturePart",""
"T_IngFood_Cookie_01","Biscuit","Grain",""
"T_IngFood_Cookie_02","Biscuit","Grain",""
"TR_m2_q_9_BGPetals","Bittergreen Petals","Plant",""
"TR_m4_TT_SpawnBittergreen","Bittergreen Petals","Plant",""
"ingred_bittergreen_petals_01","Bittergreen Petals","Plant","Grows on thorny vines in drier regions"
"AB_IngFlor_BgSlime_01","Bittergreen Slime","Plant",""
"T_IngFlor_Bitterstar_01","Bitterstar Seeds","Spice,Plant",""
"T_IngMine_OreBitterstone_01","Bitterstone Ore","Ore",""
"T_IngFlor_BjoulsaeRose_01","Bjoulsae Rose","Plant",""
"ingred_black_anther_01","Black Anther","Plant","These flowers are most common in the Ascadian Isles region"
"T_IngCrea_BearpeltBlack_01","Black Bear Pelt","CreaturePart,Pelt",""
"ingred_black_lichen_01","Black Lichen","Plant","Somewhat rare, mostly found in caves"
"AB_IngMine_BlackPearl_01","Black Pearl","Gem",""
"T_IngMine_PearlBlackDae_01","Black Pearl","Gem",""
"T_IngMine_PearlBlack_01","Black Pearl","Gem",""
"T_IngFlor_BlackrosePetalDae_01","Black Rose","Plant",""
"T_IngFlor_BlackrosePetal_01","Black Rose","Plant",""
"TR_m1_Q_Ingred_BlackRose","Black Rose Offering","Plant","Found on the corpse of Alvar Omothan in Rangirth Ancestral Tomb"
"TR_m1_Q_BlackRose_Stationary","Black Rose Offering","Plant","The same offering after it has been placed on the ash-pit in Rangirth Ancestral Tomb"
"T_IngFlor_BlacksporeCap_01","Black Spore Cap","Mushroom,Plant",""
"AB_IngMine_BlackTourmaline_01","Black Tourmaline","Gem",""
"T_IngFood_Blackberry_01","Blackberries","Fruit",""
"T_IngFlor_Blknet_01","Blacknettle","",""
"T_IngFlor_Bleakbell_01","Bleak Bell","Plant",""
"T_IngFlor_Bleakstar_01","Bleakstar Stalk","Plant",""
"T_IngCrea_MothWingMw_01","Blight Moth Wing","CreaturePart",""
"AB_IngCrea_KwamaEggBlighted","Blighted Kwama Egg","Egg",""
"T_IngFlor_BlisterSpore_01","Blister Spore","Plant",""
"AB_IngFlor_Fomentarius","Blistering Fomentarius","Mushroom",""
"T_IngFlor_BlisteringFoment_01","Blistering Fomentarius","Mushroom",""
"ingred_bloat_01","Bloat","Mushroom","Grows in Bloat Spores, which are unfortunately not found anywhere in the game. The only examples you can find are in random containers, or sold by vendors."
"T_IngFlor_BloodlilyFlower_01","Blood Lily Flower","CreaturePart,Plant",""
"T_IngFlor_BloodlilyPod_01","Blood Lily Pod","CreaturePart,Plant",""
"ingred_blood_innocent_unique","Blood of an Innocent","CreaturePart","Not found in-game. Presumably this was intended to be used instead of the Heart of an Innocent."
"TR_i3-685_OutlawsBlood","Blood Stone","CreaturePart",""
"AB_IngFlor_Bloodgrass_01","Bloodgrass","Plant",""
"T_IngFlor_Bloodgrass_01","Bloodgrass","Plant",""
"T_IngMine_BloodstoneDae_01","Bloodstone","Gem",""
"T_IngMine_Bloodstone_01","Bloodstone","Gem",""
"T_IngCrea_ButterflyWingCyr_02","Blue Chalk Butterfly Wing","Mineral,CreaturePart",""
"AB_IngMine_BlueDiamond","Blue Diamond","Gem",""
"T_IngMine_DiamondBlue_01","Blue Diamond","Gem",""
"T_IngFlor_FlaxFlower_01","Blue Flax Flowers","Plant",""
"AB_IngFlor_BlueKanet_01","Blue Kanet","Plant",""
"T_IngFlor_BlueKanet_01","Blue Kanet","Plant",""
"T_IngFlor_LichenBlue_01","Blue Lichen","Plant",""
"T_IngMine_PearlBlueDae_01","Blue Pearl","Gem",""
"T_IngMine_PearlBlue_01","Blue Pearl","Gem",""
"T_IngMine_TopazBlue_01","Blue Topaz","Gem",""
"T_IngFood_Blueberry_01","Blueberries","Fruit",""
"T_IngFlor_Bluefoot_01","Bluefoot","Mushroom",""
"T_IngFood_MeatBoar_02","Boar Meat","Meat",""
"T_IngFlor_BogBeacon_01","Bog Beacon Cap","Mushroom",""
"TR_m2_q_38_purebonemeal","Bonemeal","Mineral",""
"ingred_bonemeal_01","Bonemeal","Mineral","Found on skeletons (living or dead), and also in urns in most tombs."
"T_IngFlor_BorealHydnum_01","Boreal Hydnum","Mushroom",""
"T_IngFlor_Bottomweed_01","Bottomweed","",""
"T_IngFood_BreadKeptu_01","Braided Bread","Grain",""
"T_IngFood_BreadKeptu_02","Braided Bread","Grain",""
"T_IngFood_BreadKeptu_03","Braided Bread","Grain",""
"T_IngMine_OreBrass_01","Brass Ore","Ore",""
"AB_IngFood_Bread01a","Bread","Grain",""
"AB_IngFood_Bread01b","Bread","Grain",""
"AB_IngFood_Bread02","Bread","Grain",""
"TR_m7_AHPicnicBread_01","Bread","Grain",""
"TR_m7_AHPicnicBread_02","Bread","Grain",""
"T_IngFood_BreadNordRye_01","Bread","Grain",""
"T_IngFood_BreadNordRye_02","Bread","Grain",""
"T_IngFood_BreadNordRye_03","Bread","Grain",""
"T_IngFood_BreadRedguard_01","Bread","Grain",""
"T_IngFood_BreadRedguard_02","Bread","Grain",""
"T_IngFood_BreadRedguard_03","Bread","Grain",""
"T_IngFood_Bread_01","Bread","Grain",""
"T_IngFood_Bread_02","Bread","Grain",""
"T_IngFood_Bread_03","Bread","Grain",""
"ingred_bread_01_UNI2","Bread","Grain","Appears in Balyn Omarel's House after completing Mephala's Quest."
"ingred_bread_01","Bread","Grain","Found in most taverns and many houses."
"T_IngFood_BridethornBerry_01","Bridethorn Berries","Fruit,Plant",""
"TR_m7_NVA8_boar_leather","Bristleback Leather","CreaturePart,Leather",""
"ingred_boar_leather","Bristleback Leather","CreaturePart,Leather","Found by killing Bristlebacks (with or without riders)"
"T_IngCrea_MothWingSky_02","Buck Moth Wing","CreaturePart",""
"ingred_bc_bungler's_bane","Bungler's Bane","Mushroom","This shelf-fungus grows on tree trunks in the Bitter Coast region"
"TR_m7_AHPicnicCabbage","Cabbage Leaf","Vegetable,Plant",""
"T_IngFlor_Cabbage_02","Cabbage Leaf","Vegetable,Plant",""
"T_IngFlor_CairnBolete_01","Cairn Bolete Cap","Mushroom",""
"T_IngFood_Cake_01","Cake","Sweet",""
"T_IngCrea_CanahFeather","Canah Feather","CreaturePart,Feather",""
"T_IngFlor_CanisRoot_01","Canis Root","Plant",""
"T_IngMine_CaputMortuum_01","Caput Mortuum","Mineral",""
"T_IngSpice_Cardamon_01","Cardamon Powder","Spice,Mineral",""
"T_IngFlor_CarlineTh_01","Carline Thistle Seeds","Spice,Plant",""
"T_IngFood_Carrot_01","Carrot","Vegetable",""
"T_IngCrea_CaveTrollEar_01","Cave Troll Ear","CreaturePart",""
"AB_IngFood_KwamaEggCentCut","Century Kwama Egg","Egg",""
"T_IngCrea_CephalopodShell_01","Cephalopod Shell Fragment","CreaturePart",""
"T_IngCrea_CetaceanMelon","Cetacean Melon","Fruit",""
"AB_IngMine_ChalkWhite","Chalk","Mineral",""
"T_IngMine_Chalk_01","Chalk","Mineral",""
"T_IngMine_Charcoal_01","Charcoal","Mineral",""
"T_IngFood_CheeseBreton_01","Cheese","Dairy",""
"T_IngFood_CheeseBreton_02","Cheese","Dairy",""
"T_IngFood_CheeseNord_01","Cheese","Dairy",""
"T_IngFood_CheeseRedguard_01","Cheese","Dairy",""
"T_IngFood_MeatChicken_01","Chicken Leg","Meat",""
"T_IngFood_UNI_ChocoMuffin","Chocolate Muffin","Sweet",""
"T_IngFlor_Chokeberry_01","Chokeberry","Fruit",""
"ingred_chokeweed_01","Chokeweed","Plant","Found growing in drier regions"
"T_IngFood_FishChrysophant_01","Chrysophant","Gem",""
"AB_IngFlor_CinderSparkLichen_01","Cinderspark Lichen","Plant",""
"T_IngFlor_CinnabarPolypore_01","Cinnabar Polypore Red Cap","Mushroom,Mineral",""
"T_IngFlor_CinnabarPolypore_02","Cinnabar Polypore Yellow Cap","Mushroom,Mineral",""
"T_IngSpice_Cinnamon_01","Cinnamon Bark","Spice,Plant",""
"T_IngMine_Citrine_01","Citrine","Gem",""
"T_IngCrea_ClamMeat","Clam Meat","Meat,Fish",""
"AB_IngCrea_ClannClaw_01","Clannfear Claw","CreaturePart,Claw",""
"T_IngFlor_Clawdooie_01","Clawdooie","",""
"AB_IngMine_Clay01","Clay","",""
"AB_IngMine_Clay02","Clay","",""
"T_IngCrea_MothWingSky_04","Clearwing Moth Wing","CreaturePart",""
"T_IngCrea_ButterflyWingSky_04","Cloud Flutterling Wing","CreaturePart",""
"T_IngFlor_CloudedFunnel_01","Clouded Funnel Cap","Mushroom",""
"T_IngFood_CloudyCorn_01","Cloudy Corn","Vegetable",""
"T_IngMine_Coal_01","Coal","Mineral",""
"T_IngMine_OreCobalt_01","Cobalt Ore","Ore",""
"T_IngFlor_Coconut_01","Coconut Meat","Meat,Fruit",""
"T_IngFood_FishCod_01","Cod","Fish",""
"ingred_bc_coda_flower","Coda Flower","Plant","Found growing in swampy pools in the Bitter Coast region on the draggle-tail plant"
"T_IngFood_BreadColovian_01","Colovian Bread","Grain",""
"T_IngFood_BreadColovian_02","Colovian Bread","Grain",""
"T_IngFood_CheeseColovian_01","Colovian Cheese","Dairy",""
"T_IngFood_Grape_01","Colovian Grapes","Fruit",""
"T_IngFlor_Comatus_01","Comatus Corpinus","Mushroom",""
"ingred_comberry_01","Comberry","Fruit","Grows in shrubs in the West Gash and Ascadian Isles regions"
"AB_IngFood_ComJam","Comberry Jam","Fruit,Sweet",""
"TR_m4_menaan_int_8_biscuit","Complimentary Biscuit","Grain",""
"TR_m2_q_38_ashbonemeal","Contaminated Bonemeal","Mineral",""
"T_IngMine_OreCopper_01","Copper Ore","Ore",""
"ingred_corkbulb_root_01","Corkbulb Root","Plant","Mostly found in drier regions in the wild."
"T_IngFlor_Cornflower_01","Cornflower Sprig","Plant",""
"ingred_corprus_weepings_01","Corprus weepings","CreaturePart","Found by killing Corprus Stalkers"
"T_IngFlor_Cowbell_01","Cowbell Flower","Plant",""
"TR_m7_AHPicnicCrabMeat","Crab Meat","Meat,Fish",""
"ingred_crab_meat_01","Crab Meat","Meat,Fish","Found by killing Mudcrabs"
"T_IngFood_Cracker_01","Cracker","Grain",""
"T_IngCrea_BeetleShell_02","Crag Beetle Shell","CreaturePart",""
"T_IngFood_Siyat_02","Cured Siyat","Fish",""
"T_IngCrea_MothWingCyr_05","Cusp Moth Wing","CreaturePart",""
"T_IngFood_CustTartRedguard_01","Custard Tart","Grain,Sweet",""
"T_IngCrea_DaedricBatEye_01","Daedra Eye","CreaturePart",""
"TR_m2_q_29_4_silk","Daedra Silk","CreaturePart",""
"T_IngCrea_DridreaSilk_01","Daedra Silk","CreaturePart",""
"ingred_daedra_skin_01","Daedra Skin","CreaturePart","Somewhat rare, mostly found at vendors -- See Note"
"ingred_cursed_daedras_heart_01","Daedra's Heart","CreaturePart","Found as offerings at Daedric shrines. See Cursed Items for more details."
"ingred_daedras_heart_01","Daedra's Heart","CreaturePart","Found by killing most Daedra - Dremora, Ogrim, Clannfears, Daedroth, etc."
"AB_IngCrea_DaeTeeth_01","Daedroth Teeth","CreaturePart",""
"T_IngCrea_DWyrmGland","Danswyrm Venom Gland","CreaturePart",""
"T_IngFlor_DarkSage_01","Dark Sage Petals","Plant",""
"T_IngFlor_Deathbell_01","Death Bell","Plant",""
"TR_m3_q_14_fish","Delamus' Stinky Fish Meat","Meat,Fish",""
"T_IngFlor_DesrosePetal_01","Desert Rose Petals","Plant",""
"TR_m1_q67_Fa1_Seeds","Desert Siren Seeds","Spice,Plant","Used in the House Telvanni quest: Seeds for Faruna"
"T_IngFood_BreadDeshaan_01","Deshaan Bread","Grain",""
"T_IngFood_BreadDeshaan_02","Deshaan Bread","Grain",""
"T_IngFood_BreadDeshaan_03","Deshaan Bread","Grain",""
"T_IngFood_BreadDeshaan_04","Deshaan Bread","Grain",""
"T_IngFood_BreadDeshaan_05","Deshaan Bread","Grain",""
"T_IngMine_DiamondDeTomb_01","Diamond","Gem",""
"ingred_diamond_01","Diamond","Gem","Common in barrels in Dwemer ruins. Also found in a small number of caves"
"ingred_Dae_cursed_diamond_01","Diamond","Gem","Found as offerings at Daedric shrines. See Cursed Items for more details."
"TR_m1_Q59_PR_disease_meat","Diseased Rat Meat","Meat","Used in the quest: Pack RATS!!!"
"T_IngFood_MeatDolphin_01","Dolphin Meat","Meat,Fish",""
"T_IngCrea_DonkeyHide_01","Donkey Hide","CreaturePart,Hide",""
"AB_IngFood_DoughLump","Dough","Grain",""
"AB_IngFood_DoughRolled","Dough","Grain",""
"T_IngCrea_Dragonscales_01","Dragonscales","",""
"T_IngFlor_Dragynia_01","Dragynia Blossom","Plant",""
"T_IngFlor_Draketail_01","Draketail Webbing","CreaturePart",""
"T_IngCrea_ButterflyWingCyr_06","Drakewing Butterfly Wing","CreaturePart",""
"AB_IngCrea_DreughShell_01","Dreugh Shell","CreaturePart",""
"ingred_dreugh_wax_01","Dreugh Wax","CreaturePart","Found by killing Dreugh"
"T_IngFood_Fig_Dried_01","Dried Fig","Fruit",""
"T_IngSpice_Hibiscus_01","Dried Hibiscus","Plant",""
"T_IngFood_FishSlaughterDried_01","Dried Slaughterfish","Fish",""
"T_IngFood_FishSlaughterDried_02","Dried Slaughterfish","Fish",""
"T_IngFood_FishSlaughterDried_03","Dried Slaughterfish","Fish",""
"T_IngFood_FishSlaughterDried_04","Dried Slaughterfish","Fish",""
"T_IngFlor_WhitePoppyPod_01","Dried Whitepoppy Pod","Plant",""
"T_IngFlor_DriftPuff_01","Drift Puff Flower","Plant",""
"T_IngFlor_DrumpearSeeds_01","Drumpear Seeds","Spice,Plant",""
"T_IngFlor_DryadSaddle_01","Dryad's Saddle Polypore Cap","Mushroom",""
"AB_IngCrea_DungCake","Dung Cake","Sweet",""
"T_IngFood_Indureta_01","Durata","",""
"T_IngCrea_DurzogHide_01","Durzog Hide","CreaturePart,Hide",""
"T_IngFlor_Fireflower_01","Duskbell","",""
"T_IngCrea_DuskyParrotfish_01","Dusky Parrotfish","Fish",""
"T_IngCrea_BeetleShell_01","Dust Beetle Shell","Mineral,CreaturePart",""
"AB_IngFlor_Dustcap","Dustcap","Mushroom",""
"TR_m2_q_38_ectoplasm","Ectoplasm","CreaturePart",""
"ingred_ectoplasm_01","Ectoplasm","CreaturePart","Found by killing Ghosts"
"TR_i4-507_ingred_hla_pearl","Edelmine's Pearl","Gem",""
"T_IngFood_EggChicken_01","Egg","Egg",""
"T_IngFlor_Elfcup_01","Elf Cup Cap","Mushroom",""
"T_IngCrea_EmbalmingPaste_01","Embalming Paste","",""
"TR_m3_q_A9_rewardemerald","Emerald","Gem",""
"TR_m4_AA_Tomb_2_Emerald","Emerald","Gem",""
"TR_m7_q_Ns_IC8_gem3","Emerald","Gem",""
"T_IngMine_EmeraldDeTomb_01","Emerald","Gem",""
"ingred_emerald_01","Emerald","Gem","Common in barrels in Dwemer ruins"
"ingred_Dae_cursed_emerald_01","Emerald","Gem","Found as offerings at Daedric shrines. See Cursed Items for more details."
"T_IngFlor_EmeticRussula_01","Emetic Russula Cap","Mushroom",""
"T_IngFood_TeaAltmer_01","Ensis Tea Cake","",""
"T_IngCrea_ButterflyWingCyr_05","Ephialtic Nightkiss Wing","CreaturePart",""
"TR_m7_Kalk_Evenfall_Sapphire","Evenfall","Plant","Found in Kalkusara"
"T_IngCrea_EyestarDae_01","Eyestar","",""
"T_IngCrea_Eyestar_01","Eyestar","",""
"T_IngFlor_FennelSeed_01","Fennel Seeds","Spice,Plant",""
"T_IngFood_Fig_01","Fig","Fruit",""
"T_IngMine_Agate_02","Fire Agate","Gem",""
"T_IngMine_FireOpal_01","Fire Opal","Gem",""
"ingred_fire_petal_01","Fire Petal","Plant","Found growing in the Molag Amur, Ashlands, and Red Mountain regions"
"ingred_fire_salts_01","Fire Salts","Mineral","Found by killing Flame Atronachs"
"AB_IngMine_Firejade_01","Firejade","Gem",""
"ingred_eyeball_unique","Flaming Eye of the Lightkeeper","CreaturePart","Taken from the Lightkeeper Grahl during The Ritual of the Sun."
"T_IngMine_Flashgrit_01","Flashgrit","",""
"T_IngFood_BreadFlat_01","Flat Bread","Grain",""
"T_IngFood_BreadFlat_02","Flat Bread","Grain",""
"T_IngFood_BreadFlat_03","Flat Bread","Grain",""
"T_IngFood_Flour_01","Flour","Grain",""
"T_IngFlor_FlyAmanita_01","Fly Amanita","Mushroom",""
"T_IngMine_FoolsGold_01","Fool's Gold","Ore",""
"T_IngFlor_ForsythiaTrRoots_01","Forsythia Root","Plant",""
"T_IngFlor_FoxgloveNectar_01","Foxglove Nectar","Plant",""
"T_IngFood_PastryFrRedguard_01","Fried Pastry","Grain",""
"T_IngCrea_FrogEye_01","Frog Eyeball","CreaturePart",""
"ingred_frost_salts_01","Frost Salts","Mineral","Found by killing Frost Atronachs"
"T_IngCrea_FrostTrollPelt_01","Frost Troll Pelt","CreaturePart,Pelt",""
"T_IngCrea_ButterflyWingCyr_04","Fruitbearer Butterfly Wing","CreaturePart",""
"T_IngFlor_FungalPod_01","Fungal Pod","Mushroom,Plant",""
"T_IngFood_Garlic_01","Garlic","Vegetable",""
"AB_IngMine_Garnet_01","Garnet","Gem",""
"TR_m7_q_Ns_IC8_gem6","Garnet","Gem",""
"T_IngMine_GarnetDae_01","Garnet","Gem",""
"T_IngMine_Garnet_01","Garnet","Gem",""
"T_IngFlor_GhostLaurel","Ghost Laurel","",""
"ingred_ghoul_heart_01","Ghoul Heart","CreaturePart","Supposedly the heart tissue of an Ash Ghoul, but not found on them. Mostly in random ingredient containers and sold at vendors. -- See Note"
"T_IngFlor_GingerFlower","Ginger Flower","Spice,Plant",""
"T_IngFlor_GingerRoot","Ginger Root","Spice,Plant",""
"T_IngFlor_Ginseng_01","Ginseng","Plant",""
"ingred_guar_hide_girith","Girith's Guar Hide","CreaturePart,Hide","Stolen from Athanden Girith, a trader in the Grazelands. Recover them in the Girith's Stolen Hides quest."
"T_IngFlor_Glasswort_01","Glasswort Sprig","Plant",""
"T_IngFlor_Gloomtear_01","Gloomtears","",""
"AB_IngCrea_GlowbugThoraxBlue","Glowbug Thorax","CreaturePart",""
"AB_IngCrea_GlowbugThoraxGreen","Glowbug Thorax","CreaturePart",""
"AB_IngFlor_GlMuscaria_01","Glowing Chanterelle","Mushroom",""
"TR_m7_NVA8_IngCrea_GoatPelt_01","Goat Fur","CreaturePart",""
"T_IngCrea_GoatPelt_01","Goat Fur","CreaturePart",""
"T_IngFood_MeatGoat_01","Goat Meat","Meat",""
"ingred_gold_kanet_01","Gold Kanet","Ore,Plant","Found growing in bushes in the grassy regions"
"T_IngMine_OreGoldDae_01","Gold Ore","Ore",""
"T_IngMine_OreGold_01","Gold Ore","Ore",""
"T_IngCrea_GoldTanthaBeak_01","Gold Tantha Beak","Ore,CreaturePart",""
"AB_IngMine_GoldPearl_01","Golden Pearl","Gem",""
"T_IngFlor_GoldWatcSeed_01","Golden Watcher Seed","Spice,Plant",""
"T_IngFlor_Maidenhair_01","Goldenlock","",""
"T_IngFlor_GoldenRod_01","Goldenrod Seed Pod","Spice,Plant",""
"T_IngFood_Gooseb01","Gooseberries","Fruit",""
"T_IngFood_Gorapple_01","Gorapple","Fruit",""
"AB_IngFood_KwamaLoaf","Goros","",""
"AB_IngFood_KwamaLoafSlice","Goros Slice","",""
"ingred_eyeball","Grahl Eyeball","CreaturePart","Found by killing Grahls"
"T_IngFood_Grape_02","Grapes","Fruit",""
"T_IngFlor_GrassPod01","Grass Pod","Plant",""
"ingred_gravedust_01","Gravedust","Mineral","No reliable location. Occasionally for sale at vendors or found in random containers"
"ingred_gravetar_01","Gravetar","CreaturePart","Found by killing Draugr"
"ingred_green_lichen_01","Green Lichen","Plant","Mostly grows on rocks in caves"
"T_IngFlor_Greenstain_01","Green Stain Mushroom","Mushroom",""
"T_IngCrea _GremlinEarWax_01","Gremlin Earwax","CreaturePart",""
"T_IngCrea_GremlinEarWax_01","Gremlin Earwax","CreaturePart",""
"T_IngFlor_GreyTickPowder_01","Grey Tick Powder","Mineral",""
"AB_IngCrea_OgrimLard","Grim Lard","Meat",""
"T_IngSpice_Drumpear_01","Ground Drumpear Seeds","Spice,Plant",""
"TR_m7_NVA8_ingred_guar_hide_01","Guar Hide","CreaturePart,Hide",""
"ingred_guar_hide_01","Guar Hide","CreaturePart,Hide","Found by killing Guars"
"TR_m7_q_guarliver","Guar Liver","Meat","Used in the quest: The Ritual of St. Veloth"
