id,name,tags,mod
TR_m3_voicebottle21,"""???""",,TR_Mainland
TR_m3_voicebottle7,"""Ashlander Wise Woman""",,TR_Mainland
TR_m3_voicebottle17,"""Charles the Plant""",,TR_Mainland
TR_m3_voicebottle14,"""Colovian Farmer""",,TR_Mainland
TR_m3_voicebottle10,"""Dunmer Seductress""",,TR_Mainland
TR_m3_voicebottle22,"""Im-Leet""",,TR_Mainland
TR_m3_voicebottle24,"""Indoril Squeak""",,TR_Mainland
TR_m3_voicebottle8,"""Inebriated Orc""",,TR_Mainland
tr_m3_voicebottle16,"""Mad Telvanni Wizard""",,TR_Mainland
TR_m3_voicebottle19,"""Nord Windtalker""",,TR_Mainland
TR_m3_voicebottle23,"""Rolf the Nord""",,TR_Mainland
TR_m2_q_32_fake_coherer,"""Royal"" Dwemer Coherer",,TR_Mainland
TR_m3_voicebottle20,"""Sky Render""",,TR_Mainland
TR_m3_voicebottle13,"""Sload Drug Lord""",,TR_Mainland
TR_m3_voicebottle15,"""The Wolf Queen""",,TR_Mainland
TR_m3_voicebottle18,"""Tsaeci Selective""",,TR_Mainland
TR_m3_voicebottle9,"""Zurin Arctus""",,TR_Mainland
TR_m7_Ns_IL_4_Package,'Prulius Sudatian' Package,,TR_Mainland
T_Imp_Painting_Fort,A Fort Between Umbrella Trees,,Tamriel_Data
key_hircine1,A Glowing Key,key,Bloodmoon
key_hircine2,A Glowing Key,key,Bloodmoon
key_hircine3,A Glowing Key,key,Bloodmoon
TR_m3_Kha_Key_00,A Glowing Key,key,TR_Mainland
TR_m3_Kha_Key_01,A Glowing Key,key,TR_Mainland
TR_m3_Kha_Key_02,A Glowing Key,key,TR_Mainland
TR_m3_Kha_Key_03,A Glowing Key,key,TR_Mainland
TR_m3_Kha_Key_04,A Glowing Key,key,TR_Mainland
TR_m3_Kha_Key_05,A Glowing Key,key,TR_Mainland
TR_m3_Kha_Key_06,A Glowing Key,key,TR_Mainland
TR_m4_VM_Daedric_Ruin_1_key,A Key To Somewhere,key,TR_Mainland
T_Imp_Painting_Fount,A Peculiar Fountain,,Tamriel_Data
T_Imp_Painting_Tree,A Pelican on the Driftwood,,Tamriel_Data
TR_TV2_Cave4_Key,A Rusty Key,key,TR_Mainland
key_gshipwreck,A Simple Key,key,Morrowind
key_oritius,A Small Key,key,Morrowind
T_Imp_Painting_Pier,A Small Pier by the Rocky Beach,,Tamriel_Data
TR_m3_key_Tollbridge,A Worn Key,key,TR_Mainland
TR_m2_ITO_HE_KeyPawnbroker,Aarlen Lleranoth's Key,key,TR_Mainland
AB_Misc_Abacus,Abacus,,OAAB_Data
T_De_Abacus_01,Abacus,,Tamriel_Data
TR_m7_Sharai_KeyAbandApartment,Abandoned Apartment Key,key,TR_Mainland
TR_m7_Sharai_KeyAbandonedStore,Abandoned Store Key,key,TR_Mainland
key_abebaalslaves_01,Abebaal Slave Key,key,Morrowind
key_elmussadamori,Abebaal Slave Key,key,Morrowind
TR_m7_KeyVadarynAcarynel,Acarynel's Room Key,key,TR_Mainland
TR_m4_RR_Cave_3_key,Adammuburtu Key,key,TR_Mainland
TR_m7_Sharai_KeyFaryon,Adavas Faryon's Key,key,TR_Mainland
TR_m7_AdavrinMineKeySlave,Adavrin Mine Slave Key,key,TR_Mainland
TR_m7_Adavrin_KeyManor,Adavrin Plantation Manor Key,key,TR_Mainland
TR_m7_Adavrin_KeySlave,Adavrin Plantation Slave Key,key,TR_Mainland
TR_m7_Adavrin_KeyVault1,Adavrin Plantation Vault Key 1,key,TR_Mainland
TR_m7_Adavrin_KeyVault2,Adavrin Plantation Vault Key 2,key,TR_Mainland
TR_m4_AA_AddaiSlaveKey,Addai Ebony Mine Slave Key,key,TR_Mainland
key_addamasartusslaves_01,Addamasartus Slave Key,key,Morrowind
key_slave_addamasartus,Addamasartus Slave Key,key,Morrowind
TR_m4_key_adhuhartis_slave,Adhuhartis Slave Key,key,TR_Mainland
TR_m1_ITO_FW_KeyNavyBase01,Admiral Kuvir's Key,key,TR_Mainland
TR_m1_ITO_FW_KeyCollege05,Adrieldan's Key,key,TR_Mainland
T_De_Music_Adun,Adun,,Tamriel_Data
key_aharunartusslaves_01,Aharunartus Slave Key,key,Morrowind
TR_m2-344_key_slave,Ahhesha Slave Key,key,TR_Mainland
key_ahnassi,Ahnassi's key,key,Morrowind
TR_m3_Aim_LighthouseKey,Aimrah Lighthouse Key,key,TR_Mainland
TR_m3_key_AimrahInnSlave,Aimrah Sailors' Inn Slave Key,key,TR_Mainland
TR_m3_key_AimrahWarehouseKey,Aimrah Warehouse Key,key,TR_Mainland
TR_m7_Narsis_KeyAinat,Ainat Vesuri's Key,key,TR_Mainland
TR_i2-66_key_DD08,Akamora Jail Key,key,TR_Mainland
TR_m3_key_Akindal,Akintal's Key,key,TR_Mainland
TR_NecMQ_ANirolKey,Alcedo Nirol's Key,key,TR_Mainland
AB_Misc_AlchJarEmpty01,Alchemical Jar,,OAAB_Data
AB_Misc_AlchJarEmpty02,Alchemical Jar,,OAAB_Data
TR_m7_AI_KeyCounil,Ald Iuval Council Hall Key,key,TR_Mainland
TR_m7_AI_KeyKogotel,Ald Iuval Kogotel Key,key,TR_Mainland
TR_m7_AI_KeyTemple,Ald Iuval Temple Key,key,TR_Mainland
TR_m7_AI_KeyVault,Ald Iuval Vault Key,key,TR_Mainland
TR_m7_AM_KeyArmory,Ald Marak Armory Key,key,TR_Mainland
TR_m7_AM_KeyKogotel,Ald Marak Kogotel Key,key,TR_Mainland
TR_m7_AM_KeyVault,Ald Marak Vault Key,key,TR_Mainland
TR_m7_Narsis_KeyAldyna,Aldyna Delms' Key,key,TR_Mainland
